,Date,PM10,NO2,SO2,O3,AQI
0,2015-01-01,607.98,36.39,9.25,41.68,472.0
1,2015-01-02,269.55,32.87,6.65,29.97,454.0
2,2015-01-03,131.9,30.31,2.65,19.71,143.0
3,2015-01-04,241.84,36.91,4.63,25.36,319.0
4,2015-01-05,219.13,34.92,3.33,23.2,325.0
5,2015-01-06,252.1,37.84,3.66,26.83,318.0
6,2015-01-07,376.51,40.15,5.82,28.96,353.0
7,2015-01-08,360.95,43.16,3.31,30.51,383.0
8,2015-01-09,397.43,38.56,3.48,32.94,375.0
9,2015-01-10,361.74,46.39,5.91,34.12,376.0
10,2015-01-11,393.2,47.29,5.54,50.37,379.0
11,2015-01-12,345.63,44.71,5.17,40.08,375.0
12,2015-01-13,301.04,45.88,5.95,39.54,366.0
13,2015-01-14,227.38,41.17,4.85,42.05,353.0
14,2015-01-15,283.93,56.7,6.94,43.25,340.0
15,2015-01-16,309.99,49.41,4.69,34.7,356.0
16,2015-01-17,356.2,53.04,5.13,25.77,360.0
17,2015-01-18,359.75,53.77,5.43,23.22,370.0
18,2015-01-19,305.13,39.88,4.21,25.34,362.0
19,2015-01-20,257.04,34.23,4.11,22.69,340.0
20,2015-01-21,235.27,22.56,7.05,18.56,338.0
21,2015-01-22,183.89,21.82,8.64,6.94,332.0
22,2015-01-23,136.07,17.35,6.77,10.91,254.0
23,2015-01-24,200.02,15.77,8.89,9.35,324.0
24,2015-01-25,203.81,20.83,5.96,16.65,333.0
25,2015-01-26,137.86,25.66,6.78,18.18,292.0
26,2015-01-27,217.2,30.39,6.42,17.11,318.0
27,2015-01-28,156.9,28.6,5.21,15.23,295.0
28,2015-01-29,277.0,38.34,5.53,16.29,327.0
29,2015-01-30,272.61,38.43,6.43,14.91,345.0
30,2015-01-31,207.06,41.36,5.03,17.51,334.0
31,2015-02-01,371.05,58.17,9.9,23.28,358.0
32,2015-02-02,219.84,37.25,5.31,28.38,349.0
33,2015-02-03,194.09,31.05,5.64,28.56,334.0
34,2015-02-04,147.08,29.69,5.06,15.07,313.0
35,2015-02-05,127.42,36.51,4.85,21.7,262.0
36,2015-02-06,330.99,67.0,9.13,33.92,303.0
37,2015-02-07,210.52,57.69,6.91,43.44,329.0
38,2015-02-08,215.69,50.39,8.66,30.43,323.0
39,2015-02-09,109.86,39.18,9.7,20.62,266.0
40,2015-02-10,218.23,42.2,5.81,19.02,319.0
41,2015-02-11,316.14,53.63,7.54,27.17,334.0
42,2015-02-12,394.97,42.73,9.2,25.58,342.0
43,2015-02-13,328.43,44.61,7.77,27.62,341.0
44,2015-02-14,412.46,53.81,9.36,34.22,377.0
45,2015-02-15,497.37,58.15,9.13,40.91,391.0
46,2015-02-16,310.74,44.22,6.79,34.36,358.0
47,2015-02-17,195.78,25.4,5.6,41.62,327.0
48,2015-02-18,253.53,60.29,8.65,36.54,365.0
49,2015-02-19,193.78,40.51,5.08,31.88,352.0
50,2015-02-20,162.2,34.71,5.93,31.61,317.0
51,2015-02-21,191.03,45.11,12.24,30.11,320.0
52,2015-02-22,107.61,31.83,5.68,27.19,279.0
53,2015-02-23,157.01,38.23,9.43,36.86,281.0
54,2015-02-24,238.33,48.4,9.28,37.39,354.0
55,2015-02-25,169.57,29.28,5.94,31.57,340.0
56,2015-02-26,171.64,20.95,6.98,28.72,323.0
57,2015-02-27,163.67,24.75,12.12,34.08,315.0
58,2015-02-28,169.28,20.65,12.48,41.38,310.0
59,2015-03-01,98.89,21.42,10.99,22.51,324.0
60,2015-03-02,60.15,13.43,3.21,22.08,226.0
61,2015-03-03,112.1,23.75,5.07,20.83,266.0
62,2015-03-04,139.15,24.28,4.68,25.83,200.0
63,2015-03-05,196.19,31.12,5.97,32.88,275.0
64,2015-03-06,163.14,26.59,5.96,33.67,322.0
65,2015-03-07,90.54,19.15,5.18,23.09,216.0
66,2015-03-08,80.2,20.35,3.98,20.71,108.0
67,2015-03-09,117.38,18.21,4.2,22.85,197.0
68,2015-03-10,150.92,18.82,3.84,25.87,238.0
69,2015-03-11,176.2,25.63,6.3,29.62,274.0
70,2015-03-12,203.75,32.29,7.03,35.05,315.0
71,2015-03-13,173.89,30.75,10.65,34.05,307.0
72,2015-03-14,105.29,29.78,10.14,23.39,208.0
73,2015-03-15,46.68,17.76,4.25,22.0,165.0
74,2015-03-16,74.14,17.14,8.8,25.55,188.0
75,2015-03-17,104.33,20.96,7.19,23.11,217.0
76,2015-03-18,95.56,16.6,3.6,27.5,191.0
77,2015-03-19,136.67,23.77,4.97,27.07,240.0
78,2015-03-20,168.0,29.04,6.66,29.01,229.0
79,2015-03-21,172.91,29.21,7.31,25.97,248.0
80,2015-03-22,122.12,20.27,4.4,25.48,204.0
81,2015-03-23,131.42,23.04,4.07,27.1,271.0
82,2015-03-24,179.36,30.01,7.35,34.78,290.0
83,2015-03-25,201.08,33.82,11.82,45.78,340.0
84,2015-03-26,217.9,33.02,9.3,40.0,358.0
85,2015-03-27,117.81,24.76,10.91,31.08,287.0
86,2015-03-28,212.96,29.41,17.16,40.23,323.0
87,2015-03-29,202.01,33.86,16.92,32.84,360.0
88,2015-03-30,57.0,17.6,7.75,26.81,268.0
89,2015-03-31,78.64,20.13,9.34,34.15,283.0
90,2015-04-01,167.6,32.71,19.48,38.45,309.0
91,2015-04-02,112.78,20.54,14.37,35.54,249.0
92,2015-04-03,76.05,18.47,10.62,24.85,245.0
93,2015-04-04,86.11,24.96,12.94,27.98,229.0
94,2015-04-05,145.1,27.75,16.72,40.79,234.0
95,2015-04-06,195.47,32.83,16.63,30.32,343.0
96,2015-04-07,95.81,24.47,8.34,43.23,262.0
97,2015-04-08,120.2,34.72,17.99,61.68,308.0
98,2015-04-09,148.17,35.15,10.48,35.18,293.0
99,2015-04-10,203.67,52.77,15.8,59.88,290.0
100,2015-04-11,234.65,59.52,21.5,73.72,375.0
101,2015-04-12,91.73,45.3,13.08,49.21,293.0
102,2015-04-13,116.62,50.3,14.99,62.52,247.0
103,2015-04-14,132.68,42.65,14.04,55.44,232.0
104,2015-04-15,161.43,47.41,13.75,31.14,316.0
105,2015-04-16,164.56,44.06,21.44,59.29,295.0
106,2015-04-17,180.67,40.09,14.34,54.47,246.0
107,2015-04-18,268.65,51.11,17.21,65.72,378.0
108,2015-04-19,308.82,64.73,18.02,65.08,406.0
109,2015-04-20,336.63,60.41,20.98,87.04,392.0
110,2015-04-21,327.81,50.7,19.38,74.49,391.0
111,2015-04-22,279.41,55.27,19.29,69.41,368.0
112,2015-04-23,273.68,76.46,21.81,76.14,365.0
113,2015-04-24,313.53,88.61,26.89,89.42,383.0
114,2015-04-25,318.88,58.87,17.56,93.54,367.0
115,2015-04-26,160.3,31.23,12.67,77.43,334.0
116,2015-04-27,174.5,35.54,11.92,70.74,258.0
117,2015-04-28,141.25,34.88,13.97,70.42,234.0
118,2015-04-29,131.56,42.98,13.98,61.86,257.0
119,2015-04-30,171.42,43.9,12.85,60.18,259.0
120,2015-05-01,192.81,42.99,13.1,53.16,279.0
121,2015-05-02,206.1,62.09,16.16,43.06,312.0
122,2015-05-03,334.02,83.3,19.43,41.71,372.0
123,2015-05-04,326.71,85.5,17.53,37.7,387.0
124,2015-05-05,366.85,107.85,26.0,50.27,408.0
125,2015-05-06,346.98,87.88,25.26,92.66,398.0
126,2015-05-07,343.12,63.18,24.63,75.6,403.0
127,2015-05-08,305.38,56.54,20.79,74.84,361.0
128,2015-05-09,285.38,63.57,18.15,76.38,378.0
129,2015-05-10,283.47,57.51,16.92,67.97,381.0
130,2015-05-11,336.82,42.7,15.11,87.93,388.0
131,2015-05-12,293.26,43.04,10.84,83.43,346.0
132,2015-05-13,174.52,48.61,9.08,55.62,328.0
133,2015-05-14,196.08,42.22,10.42,57.1,291.0
134,2015-05-15,240.34,63.55,15.02,77.87,396.0
135,2015-05-16,186.28,75.5,15.03,73.24,297.0
136,2015-05-17,188.39,57.63,20.15,70.29,345.0
137,2015-05-18,172.35,47.64,15.04,79.02,296.0
138,2015-05-19,240.31,75.47,14.58,79.55,319.0
139,2015-05-20,176.25,52.69,20.3,57.17,282.0
140,2015-05-21,335.13,53.03,14.85,42.61,352.0
141,2015-05-22,235.99,56.84,14.77,64.34,338.0
142,2015-05-23,313.73,52.79,10.73,66.63,321.0
143,2015-05-24,251.52,56.29,18.96,60.08,295.0
144,2015-05-25,340.66,60.65,11.78,95.72,344.0
145,2015-05-26,311.08,51.77,9.9,79.4,337.0
146,2015-05-27,231.35,70.43,17.48,80.71,355.0
147,2015-05-28,436.17,72.67,14.33,83.33,371.0
148,2015-05-29,275.6,64.94,12.9,76.1,414.0
149,2015-05-30,239.12,65.26,17.68,69.95,366.0
150,2015-05-31,236.8,41.86,13.08,87.47,346.0
151,2015-06-01,175.39,48.55,9.96,72.89,289.0
152,2015-06-02,117.86,54.29,6.73,56.2,297.0
153,2015-06-03,137.7,65.25,6.31,41.92,268.0
154,2015-06-04,170.55,62.38,5.53,63.0,259.0
155,2015-06-05,241.67,62.63,4.12,52.03,327.0
156,2015-06-06,119.29,46.37,7.37,37.09,384.0
157,2015-06-07,186.2,77.07,9.53,88.63,299.0
158,2015-06-08,269.3,109.34,10.44,86.2,282.0
159,2015-06-09,393.7,76.88,8.84,58.0,442.0
160,2015-06-10,166.31,31.27,5.91,56.84,309.0
161,2015-06-11,259.73,32.99,6.02,138.5,270.0
162,2015-06-12,180.06,36.36,5.52,68.6,239.0
163,2015-06-13,158.24,52.9,5.34,53.02,214.0
164,2015-06-14,121.44,68.76,5.33,60.88,166.0
165,2015-06-15,206.42,72.79,6.3,86.86,234.0
166,2015-06-16,282.05,81.57,6.16,82.42,331.0
167,2015-06-17,271.79,70.96,6.95,74.01,327.0
168,2015-06-18,268.84,94.25,9.31,87.24,313.0
169,2015-06-19,216.46,65.21,7.8,76.58,284.0
170,2015-06-20,160.22,52.7,10.22,69.37,239.0
171,2015-06-21,82.7,50.78,6.11,52.78,149.0
172,2015-06-22,139.2,58.88,6.18,59.49,172.0
173,2015-06-23,152.18,61.18,7.9,77.04,226.0
174,2015-06-24,214.45,60.31,8.09,83.13,261.0
175,2015-06-25,62.38,44.72,7.67,46.7,188.0
176,2015-06-26,182.48,46.88,6.84,60.99,192.0
177,2015-06-27,195.2,38.55,7.28,53.19,207.0
178,2015-06-28,214.78,47.19,7.53,58.34,219.0
179,2015-06-29,96.78,38.37,7.74,52.21,193.0
180,2015-06-30,109.92,46.06,9.15,58.33,170.0
181,2015-07-01,135.43,49.64,8.88,61.42,185.0
182,2015-07-02,175.9,52.45,6.86,61.7,220.0
183,2015-07-03,219.31,37.09,8.91,59.66,225.0
184,2015-07-04,212.16,35.54,7.24,56.61,250.0
185,2015-07-05,435.2,36.89,6.42,58.36,282.0
186,2015-07-06,143.86,44.07,7.91,58.07,298.0
187,2015-07-07,78.64,51.7,7.82,53.72,175.0
188,2015-07-08,127.38,52.69,7.94,53.94,217.0
189,2015-07-09,128.93,53.39,7.86,42.58,234.0
190,2015-07-10,95.1,46.71,8.97,35.79,188.0
191,2015-07-11,41.31,51.39,8.61,54.03,253.0
192,2015-07-12,34.16,32.77,7.15,40.41,198.0
193,2015-07-13,54.36,37.71,8.11,37.7,148.0
194,2015-07-14,112.83,43.46,8.04,46.71,141.0
195,2015-07-15,243.97,38.05,9.62,52.2,218.0
196,2015-07-16,244.69,36.72,10.29,72.44,268.0
197,2015-07-17,148.95,42.07,12.46,61.43,232.0
198,2015-07-18,148.87,48.79,10.77,56.32,204.0
199,2015-07-19,144.11,52.87,10.4,59.05,220.0
200,2015-07-20,83.22,62.37,10.17,61.55,223.0
201,2015-07-21,78.76,46.3,12.19,46.98,218.0
202,2015-07-22,85.89,41.41,20.43,44.49,165.0
203,2015-07-23,81.25,39.98,16.71,49.72,155.0
204,2015-07-24,94.49,43.99,16.01,47.11,154.0
205,2015-07-25,97.0,42.86,15.58,45.9,184.0
206,2015-07-26,86.01,30.66,15.09,40.73,150.0
207,2015-07-27,53.28,33.21,12.69,36.65,125.0
208,2015-07-28,51.98,40.25,7.61,38.49,160.0
209,2015-07-29,56.7,35.69,9.68,35.89,142.0
210,2015-07-30,47.91,32.96,9.49,26.26,181.0
211,2015-07-31,122.18,35.9,9.7,36.57,196.0
212,2015-08-01,126.33,35.14,10.8,41.27,181.0
213,2015-08-02,123.24,37.96,10.27,46.38,213.0
214,2015-08-03,154.28,40.17,8.75,45.97,175.0
215,2015-08-04,136.88,46.74,9.72,56.88,184.0
216,2015-08-05,117.08,52.78,10.41,54.66,228.0
217,2015-08-06,126.56,52.51,10.73,60.57,214.0
218,2015-08-07,154.92,48.24,10.22,68.17,254.0
219,2015-08-08,149.92,50.51,7.68,62.76,258.0
220,2015-08-09,105.17,39.47,5.83,45.4,244.0
221,2015-08-10,140.54,45.46,6.9,61.52,209.0
222,2015-08-11,137.74,49.43,6.23,62.67,283.0
223,2015-08-12,87.66,45.71,6.69,55.37,223.0
224,2015-08-13,116.55,52.76,9.82,80.63,205.0
225,2015-08-14,159.75,50.96,10.82,69.27,252.0
226,2015-08-15,91.81,44.4,10.53,44.93,198.0
227,2015-08-16,93.33,48.39,10.46,44.79,197.0
228,2015-08-17,134.2,44.41,11.22,45.05,184.0
229,2015-08-18,126.2,56.15,12.39,48.86,197.0
230,2015-08-19,124.17,36.47,9.63,38.86,140.0
231,2015-08-20,210.86,32.0,11.59,42.13,232.0
232,2015-08-21,214.05,35.87,12.09,57.47,271.0
233,2015-08-22,149.06,40.28,9.56,52.48,207.0
234,2015-08-23,138.12,33.76,9.53,33.94,127.0
235,2015-08-24,108.4,44.61,10.67,38.73,123.0
236,2015-08-25,222.39,39.88,9.12,44.9,175.0
237,2015-08-26,236.94,37.85,9.36,40.43,245.0
238,2015-08-27,237.68,40.41,10.59,56.61,248.0
239,2015-08-28,206.22,50.74,11.92,64.07,247.0
240,2015-08-29,260.48,49.3,11.11,65.56,292.0
241,2015-08-30,230.76,39.84,10.39,62.61,266.0
242,2015-08-31,220.14,32.53,12.77,60.73,288.0
243,2015-09-01,230.34,27.42,10.45,61.33,210.0
244,2015-09-02,318.24,29.16,10.79,72.47,298.0
245,2015-09-03,278.36,35.31,9.82,72.94,315.0
246,2015-09-04,284.54,41.7,14.94,71.5,368.0
247,2015-09-05,201.89,29.5,16.93,56.59,266.0
248,2015-09-06,168.63,27.81,16.71,49.32,174.0
249,2015-09-07,179.42,35.49,12.97,52.24,199.0
250,2015-09-08,219.51,38.36,10.92,61.95,217.0
251,2015-09-09,195.05,36.2,11.57,68.21,238.0
252,2015-09-10,184.78,42.1,11.53,68.49,230.0
253,2015-09-11,181.99,46.81,10.98,68.81,218.0
254,2015-09-12,178.57,54.45,10.51,69.36,226.0
255,2015-09-13,171.76,45.36,9.91,64.05,202.0
256,2015-09-14,236.34,60.71,10.43,79.29,274.0
257,2015-09-15,217.16,56.31,10.4,75.63,289.0
258,2015-09-16,190.99,46.44,9.27,69.61,235.0
259,2015-09-17,250.21,60.96,11.68,85.86,285.0
260,2015-09-18,129.11,43.3,10.85,48.8,209.0
261,2015-09-19,125.24,49.83,9.75,51.78,132.0
262,2015-09-20,141.89,62.73,9.27,58.49,179.0
263,2015-09-21,109.7,62.69,13.55,48.02,136.0
264,2015-09-22,70.38,38.78,11.57,39.83,104.0
265,2015-09-23,101.42,31.17,12.34,37.26,95.0
266,2015-09-24,187.9,39.16,13.26,48.78,175.0
267,2015-09-25,222.71,45.09,11.8,53.1,290.0
268,2015-09-26,254.8,45.96,11.17,54.87,282.0
269,2015-09-27,252.06,44.13,9.76,68.69,298.0
